Site;Progeny;Treatment;TreeNb;NbLeaf;Status;NewLeafDate;PruningLeafDate;DryLeafDate;BrokenLeafDate;HarvestingBunchDate;SpatheOpeningDate;BunchSex;RachisLength;RachisFW;RacSampleFW;RacSampleDW;RachisWaterContent;RachisDW;LeafletNbRigth;LeafletNbLeft;LeafletTotNb;LeafletFW;LeafSampleFW;LeafSampleDW;LeafletWaterContent;LeafletDW;BunchFW;BunchDW;PeduncleFW;PedSampleFW;PedSampleDW;PeduncleWaterContent;PeduncleDW;SpikeletFW;SpiSampleFW;SpiSampleDW;SpikeletWaterContent;SpikeletDW;ParthenoFruitNb;ParthenoFruitFW;ParthenoSampleFW;ParthenoSampleDW;ParthenoFruitWaterContent;ParthenoFruitDW;FruitNb;FruitFW;FruitSampleFW;FruitSampleDW;FruitWaterContent;FruitDW;PulpSampleFW;PulpSampleDW;NutSampleFW;NutSampleDW
PHLE;P1;Irrigation;T2;1;Broken;;;;;05/01/2008;04/07/2007;F;;;;;;;;;;;;;;;;;288;44;13;0.704545455;85.09090909;774;50;21;0.58;325.08;20;95;31;12;0.612903226;36.77419355;233;2421;193;142;0.264248705;1781.253886;147;106;46;36
PHLE;P1;Irrigation;T3;1;Broken;;17/03/2007;;17/03/2007;;;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PHLE;P1;Irrigation;T4;1;Broken;;17/03/2007;;17/03/2007;;;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PHLE;P1;Irrigation;T5;1;Broken;;;;;;30/04/2007;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PHLE;P1;Irrigation;T6;1;Broken;;;;;;;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PHLE;P1;Control;T2;1;Broken;;;;;15/09/2007;17/03/2007;F;;;;;;;;;;;;;;;;;432;48;11;0.770833333;99;882;47;16;0.659574468;300.2553191;102;288;52;10;0.807692308;55.38461538;288;4325;172;122;0.290697674;3067.732558;131;94;41;28
PHLE;P1;Control;T1;2;broken;;15/05/2008;;;08/09/2007;09/08/2006;F;;;;;;;;;;;;;;;;;500;48;11;0.770833333;114.5833333;763;47;20;0.574468085;324.6808511;103;198;51;11;0.784313725;42.70588235;394;3491;185;132;0.286486486;2490.875676;147;102;38;30
PHLE;P1;Control;T3;2;Broken;;17/03/2007;;17/03/2007;03/10/2007;17/03/2007;F;;;;;;;;;;;;;;;;;450;48;6;0.875;56.25;1088;47;16;0.659574468;370.3829787;117;233;36;9;0.75;58.25;493;4860;151;105;0.304635762;3379.470199;115;80;36;25
PHLE;P1;Control;T4;2;Broken;;17/03/2007;;17/03/2007;31/10/2007;03/04/2007;F;;;;;;;;;;;;;;;;;406;50;15;0.7;121.8;469;50;23;0.54;215.74;115;136;35;10;0.714285714;38.85714286;354;2867;161;115;0.285714286;2047.857143;135;92;26;23
PHLE;P1;Control;T5;2;Broken;;;;;;17/03/2007;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PHLE;P1;Control;T6;2;Broken;;;;;31/10/2007;30/04/2007;F;;;;;;;;;;;;;;;;;239;48;12;0.75;59.75;537;47;20;0.574468085;228.5106383;132;109;48;14;0.708333333;31.79166667;219;2383;168;120;0.285714286;1702.142857;138;97;30;23
